"column_name","data_type","character_maximum_length","column_default","is_nullable"
"standard_codes_master_id","integer",NULL,NULL,"YES"
"version_uuid","uuid",NULL,NULL,"NO"
"master_uuid","uuid",NULL,NULL,"NO"
"created_datetime","timestamp without time zone",NULL,NULL,"YES"
"updated_datetime","timestamp without time zone",NULL,NULL,"YES"
"id","integer",NULL,NULL,"NO"
"effective_start_date","timestamp without time zone",NULL,NULL,"YES"
"effective_end_date","timestamp without time zone",NULL,NULL,"YES"
"api_response","jsonb",NULL,NULL,"YES"
"version","character varying",16,NULL,"YES"
"updated_by","character varying",255,NULL,"YES"
"created_by","character varying",255,NULL,"YES"
